Company & About,Job Title & Location,Salary & Experience,Key Requirements (Required / Nice to Have),Red Flags / Why User Has a Shot,Posting Date & URL
"Wellthy (health‑tech, ~200 employees). Remote care‑coordination platform using AI and concierge services to help employees navigate caregiving.","Implementation Specialist – U.S. Remote. Leads onboarding and implementation for new employer clients, coordinates technical/operational setup, and supports expansions.",Salary: $70k–$85k. Experience: 2+ yrs implementation/ client‑service experience; bachelor’s degree or equivalent.,Required: experience onboarding SaaS clients; comfort with AI tools; strong project‑management and communication skills. Nice: experience with eligibility files or data integrations.,"Red Flags: none obvious—no coding test, degree is “or equivalent.” Why a Shot: user has 4+ yrs remote support/triage and built AI‑powered apps; strong at coordinating cross‑functional teams and training.",Posted: ~1 day ago (Remotive). Job URL
"gWorks (GovTech SaaS, ~150 employees). Provides municipal software.",Implementation Specialist – U.S. Remote. Guides clients through adoption of gWorks software modules; manages onboarding from kickoff to go‑live and provides training.,Salary: $68k–$80k base. Experience: 4+ yrs client‑onboarding/implementation; experience configuring SaaS & managing projects.,"Required: ability to configure software, develop rollout plans, and communicate with municipalities. Nice: municipal or GovTech background, training experience.","Red Flags: asks for 4+ yrs implementation experience, but user has ~4 yrs support—still close; no heavy travel. Why a Shot: user’s strong project‑management, training, and system configuration skills; experience building AI tools demonstrates technical curiosity.",Posted: 1 week ago. Job URL
"Nova 401(k) Associates (benefits consultancy, ~600 employees).","Entry‑Level Implementation Specialist – U.S. Remote. Onboards new retirement‑plan clients, collects data, reviews plan documents, and coordinates with advisors.",Salary: $55k–$70k. Experience: bachelor’s degree or equivalent; strong communication and time‑management.,"Required: organizational skills, customer‑service experience, ability to manage deadlines; no specific tech stack. Nice: familiarity with retirement plans and financial documents.",Red Flags: may involve administrative paperwork; not deeply technical. Why a Shot: user has experience building an inventory‑tracking system and handling customer‑facing admin work at an auto dealership; remote onboarding and data gathering align well.,Posted: posted yesterday (Remotive). Job URL
"Nest Veterinary (veterinary practice management, startup).",Implementation Specialist – U.S. Remote. Orchestrates onboarding for veterinary hospitals from kickoff to go‑live; trains staff and coordinates technical readiness.,Salary: Not listed. Experience: 2+ yrs SaaS implementation; training experience and strong organization skills.,"Required: experience onboarding/training SaaS clients, managing multiple implementations, and collaborating cross‑functionally. Nice: familiarity with veterinary/healthcare workflows.",Red Flags: salary unknown; may prefer healthcare experience. Why a Shot: user’s remote support and device‑triage background plus ability to learn domain‑specific workflows; strong communication and training skills.,Posted: 19 days ago (Remotive). Job URL
"Imagine360 (health‑care cost management, ~900 employees).","Implementation Specialist – U.S. Remote (periodic travel). Provides third‑party administrator implementation services for new clients, coordinates enrollment and eligibility, and collaborates with internal departments.",Salary: Not listed; periodic travel required. Experience: 5+ yrs healthcare insurance experience.,"Required: knowledge of ERISA/benefit plan design, experience coordinating onboarding across departments. Nice: bachelor’s degree or equivalent; ability to handle multiple projects.","Red Flags: 5+ yrs healthcare‑insurance requirement (user lacks this); periodic travel may exceed 15%. Why a Shot: transferable skills in remote support, troubleshooting, and managing multiple properties may offset domain gap; AI and tech fluency could help modernize processes.",Posted: 2 days ago (Remotive). Job URL
"Connecteam (employee‑management SaaS, ~285 employees).","Technical Customer Success – Remote (Florida). Delivers professional services, configures Connecteam features, integrates with other platforms, and migrates client data.","Salary: $50k–$60k. Experience: 1 yr in a SaaS company; tech‑savvy, English‑fluency, team‑player.","Required: meet clients daily, set up software, migrate data, manage multiple tasks, strong communication. Nice: ability to thrive under pressure and collaborate with R&D/CS teams.",Red Flags: role is entry‑level; may involve heavy client meetings but no coding. Why a Shot: user’s remote support background fits daily client interactions; experience customizing AI apps and integrating tools aligns with product configuration.,Posted: 7 days ago (Built In). Job URL
"NextPatient (health‑care scheduling software, ~33 employees).","Customer Success Associate – U.S. Remote. Supports medical practices using NextPatient’s platform, configures products, and advocates for enhancements.",Salary: $65k–$75k. Experience: entry‑level; strong communication and ability to learn product deeply.,"Required: configure software based on client needs, manage onboarding, communicate feedback. Nice: interest in health‑tech and small start‑up environment; remote work autonomy with travel for team summits.",Red Flags: domain is healthcare; but no coding required. Why a Shot: user’s experience supporting 150+ properties and training customers translates well to onboarding small medical practices; AI background fits the tech‑savvy culture.,Posted: 14 days ago (Built In). Job URL
"TechnologyAdvice (B2B media/AdTech, ~500+ employees).","Client Success Coordinator – U.S. Remote. Manages client accounts, leads onboarding, monitors program performance, and collaborates across teams.","Salary: $50k–$59k. Experience: strong communication, Excel/Google Sheets proficiency, CRM familiarity.","Required: build client relationships, set up and optimize client programs in Salesforce, analyze campaign performance, deliver insights. Nice: interest in B2B demand generation and problem‑solving.",Red Flags: heavy use of Salesforce/Excel; but no coding or quotas. Why a Shot: user managed inventory tracking and remote support; comfortable with data analysis; enjoys cross‑team collaboration; ready to support tech clients.,Posted: 15 days ago (Built In). Job URL
"ServiceCore (field‑service SaaS for waste industries, 51‑200 employees).","Customer Success Engineer – U.S. Remote. Acts as Tier‑3 technical support and escalation point; reproduces and documents complex issues, queries databases, tests APIs, and creates engineering tickets.","Salary: $75k–$90k. Experience: strong technical foundation; ability to write SQL queries, test APIs, write/adapt Node.js scripts, and use Git.","Required: reproduce and validate bugs, query Postgres databases, test APIs, write scripts, create detailed tickets. Nice: data analysis, debugging, and clear communication.","Red Flags: heavy technical skills (SQL, Node.js scripts, Git) may exceed user’s hands‑on coding comfort; remote role but senior. Why a Shot: user uses AI‑assisted coding and built AI applications, demonstrating ability to direct debugging and problem‑solving; remote support experience fits escalation tasks.",Posted: Jan 20 2026. Job URL
"Samsara (IoT/AI platform, ~2,000 employees but separate business unit; remote‑friendly).","Technical Support Engineer – U.S. Remote (excluding certain metros). Provides Tier‑2 support for hardware and software, troubleshoots complex issues, documents knowledge articles, and partners with engineering.","Salary: $62,177–$94,050 base. Experience: B.S. or equivalent; 2–5 yrs in support, engineering or technical roles; familiarity with CRMs; technical know‑how.","Required: strong customer‑service skills, ability to translate technical concepts, manage tickets, write documentation. Nice: familiarity with Python/JSON/scripting, bilingual Spanish.",Red Flags: optional scripting knowledge; some on‑call coverage; company size ~2k but role within support division may still feel start‑up like. Why a Shot: user has deep experience in remote device triage and customer troubleshooting; ability to learn technical systems; comfortable working across teams.,Posted: 9 days ago (Built In). Job URL
"FusionAuth (identity & access management startup, ~<100 employees).","Technical Support Engineer – Hybrid (Denver, CO Metro). Supports developers integrating FusionAuth, reproduces issues, reads code to answer questions, guides customers through CIAM configurations.","Salary: $80k–$100k base. Experience: 4+ yrs in technical support or software engineering; ability to read code, understand RESTful APIs, and communicate technical concepts.","Required: troubleshoot authentication/authorization workflows, run RESTful API calls, read customer code snippets, create bug tickets. Nice: Java or IAM experience, working with developers as customers.",Red Flags: hybrid (may require Denver on‑site); heavy technical reading and possible coding; 4+ yrs experience. Why a Shot: user’s AI‑assisted development experience means they can interpret code and API flows; strong customer‑facing support skills and ability to troubleshoot complex problems.,Posted: recently (FusionAuth career page). Job URL
"Eve (legal AI‑tech, ~50 employees).","Technical Support Specialist – U.S. Remote or Hybrid. Provides frontline support for legal AI solutions, manages tickets, resolves bugs, coordinates feature requests, and assists with system implementation.",Salary: $60k–$95k. Experience: 2+ yrs in legal‑tech support preferred; expertise with ticketing systems and SaaS.,"Required: respond to support tickets within 2‑hour SLA, troubleshoot SaaS and API issues, document and prioritize feature requests, support system setup. Nice: background in legal practice management, familiarity with compliance standards.",Red Flags: preference for legal‑tech experience; high SLA demands; salary upper end near $95k but within limit. Why a Shot: user’s ability to triage and resolve complex issues quickly across 150+ sites fits the rapid ticket‑management needs; AI expertise aligns with Eve’s AI‑native legal platform; strong communication compensates for lack of legal background.,Posted: 11 days ago (Built In). Job URL